id,Move,Timestamp,Time on clock,Score,ScoreWhite,ScoreBlack,ScoreRelative,ScoreValue,Best Move,df_score
0,e2e4,1709649082410,01:30:29,"PovScore(Cp(+30), WHITE)",0.5115,0.4885,+30,30,e2e4,
1,e7e5,1709649120905,01:29:51,"PovScore(Cp(-34), BLACK)",0.5145,0.4855,-34,-34,e7e5,0.0030000000000000027
2,g1f3,1709649131077,01:30:49,"PovScore(Cp(+33), WHITE)",0.514,0.486,+33,33,g1f3,0.0004999999999999449
3,b8c6,1709649139529,01:30:13,"PovScore(Cp(-31), BLACK)",0.5125,0.4875,-31,-31,b8c6,0.0015000000000000568
4,f1b5,1709649153444,01:31:05,"PovScore(Cp(+26), WHITE)",0.5095,0.4905,+26,26,f1c4,0.0030000000000000027
5,a7a6,1709649162173,01:30:34,"PovScore(Cp(-27), BLACK)",0.51,0.49,-27,-27,g8f6,0.000500000000000056
6,b5a4,1709649175808,01:31:21,"PovScore(Cp(+40), WHITE)",0.5205,0.4795,+40,40,b5a4,0.010499999999999954
7,d7d6,1709649205329,01:30:34,"PovScore(Cp(-32), BLACK)",0.513,0.487,-32,-32,g8f6,0.007499999999999951
8,c2c3,1709649320853,01:29:56,"PovScore(Cp(+50), WHITE)",0.535,0.465,+50,50,c2c3,0.02200000000000002
9,c8d7,1709649346298,01:30:39,"PovScore(Cp(-39), BLACK)",0.519,0.481,-39,-39,g8f6,0.016000000000000014
10,e1g1,1709649454809,01:28:37,"PovScore(Cp(+51), WHITE)",0.537,0.463,+51,51,d2d4,0.018000000000000016
11,g7g6,1709649472424,01:30:51,"PovScore(Cp(-53), BLACK)",0.541,0.459,-53,-53,g8f6,0.0040000000000000036
12,d2d4,1709649541107,01:27:59,"PovScore(Cp(+57), WHITE)",0.55,0.45,+57,57,d2d4,0.009000000000000008
13,f8g7,1709649552938,01:31:09,"PovScore(Cp(-49), BLACK)",0.5335,0.4665,-49,-49,f8g7,0.01650000000000007
14,h2h3,1709649616871,01:27:25,"PovScore(Cp(+45), WHITE)",0.527,0.473,+45,45,h2h3,0.00649999999999995
15,g8e7,1709649636503,01:31:20,"PovScore(Cp(-48), BLACK)",0.5315,0.4685,-48,-48,h7h6,0.0044999999999999485
16,d4e5,1709649717868,01:26:33,"PovScore(Cp(+48), WHITE)",0.5315,0.4685,+48,48,a4b3,0.0
17,d6e5,1709649867556,01:29:20,"PovScore(Cp(-44), BLACK)",0.5255,0.4745,-44,-44,d6e5,0.006000000000000005
18,c1e3,1709650032384,01:24:19,"PovScore(Cp(+49), WHITE)",0.5335,0.4665,+49,49,b1d2,0.008000000000000007
19,e8g8,1709650083076,01:28:59,"PovScore(Cp(-38), BLACK)",0.518,0.482,-38,-38,e8g8,0.015499999999999958
20,b1d2,1709650158911,01:23:33,"PovScore(Cp(+36), WHITE)",0.5165,0.4835,+36,36,e3c5,0.0015000000000000568
21,h7h6,1709650194761,01:28:54,"PovScore(Cp(-17), BLACK)",0.505,0.495,-17,-17,b7b6,0.011499999999999955
